"","Year","Precipitation","Yield","Cell"
"1",2055,504.997,0,"453911731_CCF"
"2",2056,410.997,7018.4,"453911731_CCF"
"3",2057,502.791,7292.8,"453911731_CCF"
"4",2058,531.398,7341.4,"453911731_CCF"
"5",2059,550.521,6805.8,"453911731_CCF"
"6",2060,581.877,9919.9,"453911731_CCF"
"7",2061,498.123,8423.3,"453911731_CCF"
"8",2062,556.253,7671.7,"453911731_CCF"
"9",2063,376.4,5916.4,"453911731_CCF"
"10",2064,428.405,8154.2,"453911731_CCF"
"11",2065,340.914,5929.7,"453911731_CCF"
"12",2066,509.373,8011.9,"453911731_CCF"
"13",2067,522.231,9334.9,"453911731_CCF"
"14",2068,516.617,6975.9,"453911731_CCF"
"15",2069,418.057,7625.8,"453911731_CCF"
"16",2070,448.335,7118.4,"453911731_CCF"
"17",2071,490.514,7116.3,"453911731_CCF"
"18",2072,428.047,8614.4,"453911731_CCF"
"19",2073,430.907,8979.9,"453911731_CCF"
"20",2074,408.518,8385.3,"453911731_CCF"
"21",2075,476.05,7679.8,"453911731_CCF"
"22",2076,455.264,9250.4,"453911731_CCF"
"23",2077,386.616,6607.3,"453911731_CCF"
"24",2078,433.322,7630.8,"453911731_CCF"
"25",2079,588.482,10077,"453911731_CCF"
"26",2080,512.226,7152.9,"453911731_CCF"
"27",2081,360.978,6700.8,"453911731_CCF"
"28",2082,409.614,6824.9,"453911731_CCF"
"29",2083,514.104,8254.7,"453911731_CCF"
"30",2084,455.104,10183,"453911731_CCF"
"31",2085,464.172,7985.4,"453911731_CCF"
"32",2055,247.508,0,"476411993_CF"
"33",2056,219.613,6687.3,"476411993_CF"
"34",2057,263.581,2121.1,"476411993_CF"
"35",2058,257.731,5207.1,"476411993_CF"
"36",2059,284.76,2025.3,"476411993_CF"
"37",2060,265.32,6198.5,"476411993_CF"
"38",2061,244.911,5639.5,"476411993_CF"
"39",2062,409.037,4836.9,"476411993_CF"
"40",2063,275.671,5492.2,"476411993_CF"
"41",2064,305.809,5816.2,"476411993_CF"
"42",2065,212.222,4899.6,"476411993_CF"
"43",2066,295.425,5696.6,"476411993_CF"
"44",2067,277.366,6949,"476411993_CF"
"45",2068,350.182,5587.8,"476411993_CF"
"46",2069,294.113,5787.9,"476411993_CF"
"47",2070,273.287,6673.5,"476411993_CF"
"48",2071,224.954,3569.5,"476411993_CF"
"49",2072,232.503,3218.6,"476411993_CF"
"50",2073,315.174,5779.5,"476411993_CF"
"51",2074,297.656,6791.1,"476411993_CF"
"52",2075,316.812,4538.6,"476411993_CF"
"53",2076,279.14,4407.9,"476411993_CF"
"54",2077,294.197,4909.2,"476411993_CF"
"55",2078,268.806,5977.1,"476411993_CF"
"56",2079,329.645,6585.6,"476411993_CF"
"57",2080,214.467,5152.5,"476411993_CF"
"58",2081,223.68,2255.5,"476411993_CF"
"59",2082,247.005,2433.2,"476411993_CF"
"60",2083,318.276,3529.6,"476411993_CF"
"61",2084,263.341,7768.3,"476411993_CF"
"62",2085,236.33,2156.4,"476411993_CF"
"63",2055,713.154,0,"461411652_CC"
"64",2056,643.679,8994.5,"461411652_CC"
"65",2057,698.102,8431.4,"461411652_CC"
"66",2058,711.162,8343.9,"461411652_CC"
"67",2059,631.895,7958.1,"461411652_CC"
"68",2060,829.808,9876.5,"461411652_CC"
"69",2061,696.745,8967,"461411652_CC"
"70",2062,832.639,8273.6,"461411652_CC"
"71",2063,553.45,8385.5,"461411652_CC"
"72",2064,571.884,8745.1,"461411652_CC"
"73",2065,532.759,7429.1,"461411652_CC"
"74",2066,639.303,8569.1,"461411652_CC"
"75",2067,732.507,9286.7,"461411652_CC"
"76",2068,783.413,8639.5,"461411652_CC"
"77",2069,703.966,8803.5,"461411652_CC"
"78",2070,643.766,8749.1,"461411652_CC"
"79",2071,666.183,9119,"461411652_CC"
"80",2072,595.727,8858,"461411652_CC"
"81",2073,631.395,9691.8,"461411652_CC"
"82",2074,746.78,8666.4,"461411652_CC"
"83",2075,680.296,9994.5,"461411652_CC"
"84",2076,616.431,8240.6,"461411652_CC"
"85",2077,568.873,7998.1,"461411652_CC"
"86",2078,710.769,9017.9,"461411652_CC"
"87",2079,784.408,9535.9,"461411652_CC"
"88",2080,733.002,7827.9,"461411652_CC"
"89",2081,472.726,9293.3,"461411652_CC"
"90",2082,627.271,8265,"461411652_CC"
"91",2083,706.363,7924.9,"461411652_CC"
"92",2084,660.378,9759.9,"461411652_CC"
"93",2085,592.005,8440.7,"461411652_CC"
