"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","240","374.9819","67","40","6","2","5.7107","456411997_CF"
"2","1982","322","200.0719","78","19","18","4","2.5593","456411997_CF"
"3","1983","235","199.7783","54","31","16","2","5.741","456411997_CF"
"4","1984","245","177.6613","70","0","11","0","3.8533","456411997_CF"
"5","1985","252","169.8957","66","2","32","2","2.2805","456411997_CF"
"6","1986","241","190.6997","55","1","25","1","4.135","456411997_CF"
"7","1987","236","178.0786","65","0","21","0","2.474","456411997_CF"
"8","1988","245","159.2028","45","3","18","0","2.508","456411997_CF"
"9","1989","239","164.0458","54","2","17","2","1.8109","456411997_CF"
"10","1990","239","167.9904","63","1","4","0","1.7849","456411997_CF"
"11","1991","244","181.2518","46","1","7","0","2.0216","456411997_CF"
"12","1992","229","158.5648","54","0","21","0","2.3719","456411997_CF"
"13","1993","252","189.6329","60","0","27","0","3.2297","456411997_CF"
"14","1994","236","162.769","20","1","13","1","1.1986","456411997_CF"
"15","1995","241","168.4931","56","0","17","0","4.2266","456411997_CF"
"16","1996","240","175.5046","63","0","15","0","2.9765","456411997_CF"
"17","1997","246","164.6802","49","19","12","0","5.3009","456411997_CF"
"18","1998","234","179.1841","59","0","16","0","3.2831","456411997_CF"
"19","1999","238","172.1433","67","0","14","0","2.8069","456411997_CF"
"20","2000","233","162.1107","58","2","13","2","2.4445","456411997_CF"
"21","2001","251","181.981","55","1","31","0","1.5592","456411997_CF"
"22","2002","241","167.5446","61","3","14","1","1.9015","456411997_CF"
"23","2003","233","160.8315","57","0","12","0","2.9803","456411997_CF"
"24","2004","237","179.1513","66","0","16","0","2.6374","456411997_CF"
"25","2005","237","178.2541","44","2","9","2","1.6868","456411997_CF"
"26","2006","237","169.8229","48","0","14","0","4.0609","456411997_CF"
"27","2007","105","165.181","27","0","14","0","2.5686","456411997_CF"
"28","2008","250","173.0734","63","2","20","2","2.3824","456411997_CF"
"29","2009","244","167.6754","50","2","31","2","1.882","456411997_CF"
"30","2010","245","175.3119","66","0","9","0","2.9813","456411997_CF"
